Rank,Title,Ýear,Rating
1,Die Verurteilten,1994,9.2
2,Der Pate,1972,9.1
3,Der Pate 2,1974,9.0
4,The Dark Knight,2008,9.0
5,Die zwölf Geschworenen,1957,8.9
6,Schindlers Liste,1993,8.9
7,Der Herr der Ringe: Die Rückkehr des Königs,2003,8.9
8,Pulp Fiction,1994,8.9
9,Zwei glorreiche Halunken,1966,8.8
10,Fight Club,1999,8.8
11,Der Herr der Ringe: Die Gefährten,2001,8.8
12,Forrest Gump,1994,8.8
13,Inception,2010,8.7
14,Das Imperium schlägt zurück,1980,8.7
15,Der Herr der Ringe: Die zwei Türme,2002,8.7
16,Matrix,1999,8.6
17,GoodFellas - Drei Jahrzehnte in der Mafia,1990,8.6
18,Einer flog über das Kuckucksnest,1975,8.6
19,Joker,2019,8.6
20,Die sieben Samurai,1954,8.6
21,Sieben,1995,8.6
22,City of God,2002,8.6
23,Das Leben ist schön,1997,8.6
24,Das Schweigen der Lämmer,1991,8.6
25,Ist das Leben nicht schön?,1946,8.6
26,Krieg der Sterne,1977,8.6
27,Der Soldat James Ryan,1998,8.5
28,Chihiros Reise ins Zauberland,2001,8.5
29,The Green Mile,1999,8.5
30,Interstellar,2014,8.5
31,Léon: Der Profi,1994,8.5
32,Die üblichen Verdächtigen,1995,8.5
33,Harakiri,1962,8.5
34,Parasite,2019,8.5
35,The Lion King,1994,8.5
36,American History X,1998,8.5
37,Zurück in die Zukunft,1985,8.5
38,Der Pianist,2002,8.5
39,Terminator 2: Tag der Abrechnung,1991,8.5
40,Moderne Zeiten,1936,8.5
41,Psycho,1960,8.5
42,Ziemlich beste Freunde,2011,8.5
43,Gladiator,2000,8.5
44,Lichter der Großstadt - Eine Komödien-Romance als Pantomime,1931,8.5
45,Departed - Unter Feinden,2006,8.5
46,Whiplash,2014,8.5
47,Spiel mir das Lied vom Tod,1968,8.5
48,Prestige - Die Meister der Magie,2006,8.5
49,Casablanca,1942,8.4
50,Die letzten Glühwürmchen,1988,8.4
51,Das Fenster zum Hof,1954,8.4
52,Cinema Paradiso,1988,8.4
53,Alien - Das unheimliche Wesen aus einer fremden Welt,1979,8.4
54,Jäger des verlorenen Schatzes,1981,8.4
55,Memento,2000,8.4
56,Apocalypse Now,1979,8.4
57,Der große Diktator,1940,8.4
58,Avengers: Endgame,2019,8.4
59,Das Leben der Anderen,2006,8.4
60,Django Unchained,2012,8.4
61,Avengers: Infinity War,2018,8.4
62,Shining,1980,8.4
63,Wege zum Ruhm,1957,8.4
64,Spider-Man: A New Universe,2018,8.4
65,WALL·E - Der Letzte räumt die Erde auf,2008,8.4
66,Boulevard der Dämmerung,1950,8.4
67,Prinzessin Mononoke,1997,8.4
68,"Dr. Seltsam oder: Wie ich lernte, die Bombe zu lieben",1964,8.4
69,Oldboy,2003,8.4
70,Zeugin der Anklage,1957,8.3
71,The Dark Knight Rises,2012,8.3
72,Es war einmal in Amerika,1984,8.3
73,Aliens - Die Rückkehr,1986,8.3
74,American Beauty,1999,8.3
75,"Your Name: Gestern, heute und für immer",2016,8.3
76,Coco - Lebendiger als das Leben,2017,8.3
77,Braveheart,1995,8.3
78,Das Boot,1981,8.3
79,3 Idiots,2009,8.3
80,Die Rückkehr der Jedi-Ritter,1983,8.3
81,Taare Zameen Par - Ein Stern auf Erden,2007,8.3
82,Toy Story,1995,8.3
83,Reservoir Dogs - Wilde Hunde,1992,8.3
84,Amadeus,1984,8.3
85,Inglourious Basterds,2009,8.3
86,Good Will Hunting - Der gute Will Hunting,1997,8.3
87,M - Eine Stadt sucht einen Mörder,1931,8.3
88,Requiem for a Dream,2000,8.3
89,2001: Odyssee im Weltraum,1968,8.3
90,Dangal - Die Hoffnung auf den großen Sieg,2016,8.3
91,Vertigo - Aus dem Reich der Toten,1958,8.3
92,Vergiss mein nicht,2004,8.3
93,Citizen Kane,1941,8.3
94,Die Jagd,2012,8.3
95,Full Metal Jacket,1987,8.3
96,Der unsichtbare Dritte,1959,8.3
97,Uhrwerk Orange,1971,8.3
98,Snatch - Schweine und Diamanten,2000,8.3
99,Der Vagabund und das Kind,1921,8.2
100,Fahrraddiebe,1948,8.2
101,Die fabelhafte Welt der Amelie,2001,8.2
102,Scarface,1983,8.2
103,Du sollst mein Glücksstern sein,1952,8.2
104,Taxi Driver,1976,8.2
105,Lawrence von Arabien,1962,8.2
106,Toy Story 3,2010,8.2
107,Der Clou,1973,8.2
108,Metropolis,1927,8.2
109,Für ein paar Dollar mehr,1965,8.2
110,Nader und Simin - eine Trennung,2011,8.2
111,Ikiru - Einmal wirklich leben,1952,8.2
112,Frau ohne Gewissen,1944,8.2
113,Wer die Nachtigall stört,1962,8.2
114,Capernaum - Stadt der Hoffnung,2018,8.2
115,Das Appartement,1960,8.2
116,Indiana Jones und der letzte Kreuzzug,1989,8.2
117,Oben,2009,8.2
118,L.A. Confidential,1997,8.2
119,Die Frau die singt - Incendies,2010,8.2
120,Die Ritter der Kokosnuß,1975,8.2
121,Heat,1995,8.2
122,Rashomon,1950,8.2
123,Stirb langsam,1988,8.2
124,Batman Begins,2005,8.2
125,Yojimbo - Der Leibwächter,1961,8.2
126,Erbarmungslos,1992,8.2
127,Green Book: Eine besondere Freundschaft,2018,8.2
128,Der Untergang,2004,8.2
129,The Irishman,2019,8.2
130,Kinder des Himmels,1997,8.2
131,Le Mans 66: Gegen jede Chance,2019,8.2
132,Manche mögen's heiß,1959,8.2
133,Das wandelnde Schloss,2004,8.2
134,Gesprengte Ketten,1963,8.2
135,Mein Nachbar Totoro,1988,8.2
136,Ran,1985,8.2
137,A Beautiful Mind - Genie und Wahnsinn,2001,8.2
138,Alles über Eva,1950,8.2
139,Pans Labyrinth,2006,8.2
140,Casino,1995,8.2
141,Komm und sieh',1985,8.2
142,Wie ein wilder Stier,1980,8.2
143,In ihren Augen,2009,8.2
144,Bube Dame König grAS,1998,8.2
145,The Wolf of Wall Street,2013,8.1
146,Der Schatz der Sierra Madre,1948,8.1
147,Das Urteil von Nürnberg,1961,8.1
148,"Three Billboards Outside Ebbing, Missouri",2017,8.1
149,Mein Vater und mein Sohn,2005,8.1
150,Chinatown,1974,8.1
151,Goldrausch,1925,8.1
152,Bei Anruf Mord,1954,8.1
153,There Will Be Blood,2007,8.1
